,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_1688515,0.004518072,0.01054217,0.001506024,0.01204819,0,0,0.003012048,0.001506024,0.003012048,0.009036144,0.003012048,0.03915663,0.003012048,0,0,0.007530121,0.003012048,0,0.004518072,0.001506024,0,0
ILMN_1781028,0.3253012,0.7243976,0.06325302,0.6325301,0.6009036,0.2756024,0.4864458,0.4894578,0.5286145,0.2966867,0.5828313,0.4864458,0.5105422,0.3960843,0.1942771,0.5466868,0.8057229,0.25,0.7409639,0.5225903,0.3358434,0.7756024
ILMN_1746376,7.26E-05,7.26E-05,0.000113405,0.000599915,0.001310967,0.03162764,0.001310967,0.006550298,0.01525983,0.2000472,0.01525983,0.7221283,0.06974888,0.3430514,0.04137143,0.2096866,0.1389216,0.01226593,0.04008202,0.02222746,0.01448074,0.2915075
ILMN_2104821,0.4246988,0.1159639,0.1912651,0.07981928,0.05722892,0.1400602,0.03463855,0.02259036,0.01656627,0.001506024,0.02259036,0.1114458,0.01506024,0.03313253,0.03162651,0,0.004518072,0.009036144,0,0.004518072,0.001506024,0.01506024
ILMN_1703891,0.7128124,0.5953098,0.8310641,0.8596711,0.426894,0.8589986,0.8923336,0.8429321,0.6874543,0.6802186,0.7057919,0.852155,0.7468837,0.8056375,0.9171482,0.9613344,0.7772427,0.7599874,0.9378232,0.7790219,0.8056375,0.780794
ILMN_1678425,0.1626506,0.1731928,0.07831325,0.1490964,0.436747,0.2213855,0.03012048,0.001506024,0.003012048,0.004518072,0.009036144,0.004518072,0.007530121,0,0.01204819,0,0,0.003012048,0.003012048,0.003012048,0.009036144,0.006024096
ILMN_1762142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_2337955,0.8871893,0.8493568,0.905282,0.6655849,0.8241358,0.9185578,0.8596711,0.7468837,0.4898352,0.7718617,0.6368119,0.7266541,0.7088085,0.7599874,0.75066,0.7067987,0.6708353,0.7972551,0.7108131,0.6843601,0.5552124,0.866928
ILMN_1657340,0.009036144,0.003012048,0.009036144,0.001506024,0.004518072,0.02259036,0.006024096,0.001506024,0.006024096,0.007530121,0.001506024,0.05421687,0.004518072,0.01807229,0.02861446,0,0.004518072,0.007530121,0.004518072,0.003012048,0.004518072,0.02710843
ILMN_1654875,0.001506024,0,0.001506024,0,0,0,0,0,0.003012048,0.004518072,0.001506024,0,0.004518072,0,0,0,0.003012048,0,0,0.001506024,0.001506024,0
ILMN_1799890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1791847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1749521,0,0.003012048,0,0,0,0,0,0.03463855,0.01355422,0,0.01807229,0.7048193,0.001506024,0.02259036,0.06475904,0.02409638,0,0.006024096,0,0,0.004518072,0.08584338
ILMN_1806483,0,0,0,0,0,0,0,0,0,0,0,0.02259036,0,0,0,0,0,0,0,0,0,0
ILMN_2165463,0.01355422,0.01957831,0.01054217,0.05271084,0.01957831,0.02108434,0.02108434,0.05722892,0.03915663,0.07981928,0.0496988,0.02259036,0.02861446,0.01957831,0.0813253,0.09939759,0.04066265,0.02560241,0.05572289,0.03614458,0.03313253,0.07981928
ILMN_1784216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_2342695,0.1187158,0.1719929,0.6270782,0.1636727,0.4661452,0.4740349,0.05016774,0.2326709,0.1337211,0.109933,0.5797883,0.3197814,0.3827187,0.2665292,0.2792447,0.191066,0.3407493,0.5473554,0.6454072,0.1205267,0.1727628,0.3980719
ILMN_2379644,0,0,0.004518072,0.009036144,0,0.007530121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1760180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1770451,0,0,0,0,0,0,0,0,0,0,0.003012048,0,0,0,0,0,0,0,0,0,0,0
ILMN_1686954,0.7078313,0.8313253,0.1671687,0.7424699,0.3990964,0.4442771,0.811747,0.5572289,0.3975904,0.7530121,0.4036145,0.5466868,0.5722892,0.6521084,0.3433735,0.5165663,0.7801205,0.433735,0.8493976,0.1972892,0.3855422,0.2093374
ILMN_1725594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1779743,0.03162651,0.003012048,0.02259036,0.001506024,0.009036144,0.007530121,0.009036144,0.001506024,0,0.003012048,0,0.003012048,0.003012048,0.007530121,0.001506024,0,0.003012048,0,0,0.004518072,0.001506024,0.001506024
ILMN_2154186,0.6114458,0.6596386,0.6957831,0.5361446,0.2078313,0.4171687,0.3509036,0.3509036,0.439759,0.251506,0.7349398,0.5361446,0.2108434,0.2831325,0.4292169,0.6039157,0.2168675,0.314759,0.1972892,0.316265,0.188253,0.6445783
ILMN_1723594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_2397776,0.07981928,0.06777108,0.009036144,0.188253,0.06475904,0.04819277,0.2921687,0.1144578,0.1069277,0.03313253,0.08584338,0.3644578,0.09939759,0.05873494,0.04668675,0.1716868,0.01506024,0.07680723,0.1054217,0.03915663,0.08283132,0.05120482
ILMN_2046943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_2390974,0.003012048,0.004518072,0.009036144,0.004518072,0.001506024,0,0.001506024,0.001506024,0,0.003012048,0.01204819,0,0.004518072,0.01054217,0.004518072,0,0,0.001506024,0,0.001506024,0.001506024,0.004518072
ILMN_1708778,0.9201807,0.4653614,0.686747,0.4262048,0.246988,0.4262048,0.8780121,0.4743976,0.5195783,0.2966867,0.5421687,0.7048193,0.2439759,0.4141566,0.2620482,0.5286145,0.2168675,0.2771084,0.6144578,0.5888554,0.2650602,0.3599398
ILMN_2112460,0.7379518,0.246988,0.3042169,0.6370482,0.4578313,0.5286145,0.5557229,0.3493976,0.373494,0.5045181,0.3448795,0.433735,0.6280121,0.4262048,0.4126506,0.5256024,0.6430723,0.3373494,0.5376506,0.4533133,0.2304217,0.5466868
ILMN_1803803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1743829,0,0,0,0,0,0,0,0,0,0,0,0.004518072,0,0,0,0,0,0,0,0,0,0
ILMN_2223034,0.01054217,0.01054217,0.009036144,0.01204819,0.05572289,0.05120482,0.01506024,0.004518072,0.01054217,0.01204819,0.003012048,0.003012048,0.01656627,0.01355422,0.01957831,0,0.007530121,0.03915663,0.02108434,0.007530121,0.01656627,0.02259036
ILMN_2234697,0,0,0,0,0,0,0,0,0,5.69E-10,0,2.80E-06,0,5.69E-10,0,0,0,0,0,0,0,0
ILMN_1688526,0.001506024,0.003012048,0.006024096,0.006024096,0,0.003012048,0.004518072,0.001506024,0.003012048,0.003012048,0.001506024,0.02259036,0.003012048,0,0,0.001506024,0.001506024,0,0.001506024,0.001506024,0,0
ILMN_2083066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1808391,0.000889099,0.001637574,5.56E-05,0.001389217,0.000409394,2.84E-05,0.00155252,0.003814959,0.005243867,0.002612861,0.001906345,0.001089826,0.004219816,0.001469734,0.004219816,0.01946151,0.00493994,0.01067032,0.00229646,0.000766621,0.00229646,0.003306902
ILMN_2285213,0.2078689,0.006313339,0.02297349,0.01095844,0.02277314,0.01035647,0.056872,0.003722797,0.01615266,0.01012199,0.004029472,0.005898125,0.002747923,0.02440893,0.0309929,0.01631206,0.00581733,0.0345559,0.03173472,0.02930713,0.02008936,0.1205267
ILMN_2336109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1664242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_2149782,0.03325368,0.2002093,0.2010525,0.07867127,0.06780158,0.1065449,0.1043253,0.1689359,0.2035941,0.1712253,0.1337211,0.08427748,0.2743255,0.196023,0.2035941,0.2236497,0.1506432,0.1985288,0.186183,0.1869916,0.2148082,0.2044451
ILMN_1740508,0.07494822,0.107665,0.0197895,0.01339286,0.2108656,0.07986405,0.07026665,0.2373873,0.2373873,0.4357602,0.150809,0.3458705,0.3073266,0.6425157,0.2254667,0.2596897,0.39008,0.5570397,0.3391614,0.1607857,0.4347333,0.4791965
ILMN_1764871,0.3795181,0.5210843,0.2801205,0.7469879,0.5045181,0.6189759,0.3222892,0.1972892,0.7198795,0.2364458,0.2228916,0.3012048,0.8524097,0.4683735,0.313253,0.2680723,0.1762048,0.4141566,0.3644578,0.2996988,0.4006024,0.311747
ILMN_2354673,0.003546484,0.004221321,0.000821448,0.1266958,0.001771753,0.06024596,0.02612123,0.05761058,0.1869916,0.2409379,0.03026273,0.213062,0.06946876,0.3958707,0.406901,0.1556247,0.04589821,0.1902469,0.2326709,0.1223559,0.0443229,0.6216429
ILMN_1720184,0.06475904,0.3268072,0.1792169,0.1731928,0.1656626,0.2439759,0.1521084,0.07530121,0.09638554,0.2334337,0.06927711,0.1656626,0.128012,0.1927711,0.185241,0.1942771,0.1099398,0.1626506,0.1762048,0.1400602,0.1551205,0.1310241
ILMN_1805807,0.6972892,0.2695783,0.8373494,0.6686747,0.5963855,0.6174699,0.436747,0.8825301,0.748494,0.9864458,0.9789157,0.9292169,0.8584337,0.8900602,0.9126506,0.810241,0.6551205,0.8012048,0.7213855,0.7951807,0.9262048,0.9608434
ILMN_2098325,0.8539157,0.3463855,0.3629518,0.5225903,0.5677711,0.1762048,125,0.02259036,0.02560241,0.01506024,0.04066265,0.02710843,0.04518072,0.01656627,0.03614458,0.01807229,0.0376506,0.03012048,0.01656627,0.03012048,0.01054217,0.0376506
ILMN_1813307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1690170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1678007,0.8207831,0.7695783,0.7650602,0.9427711,0.09939759,0.6656626,0.6777108,0.9216868,0.7981928,0.8945783,0.9171687,0.8388554,0.5286145,0.6822289,0.7349398,0.6792169,0.6671687,0.5271084,0.876506,0.9006024,0.9939759,0.9909639
ILMN_2399310,0,0,0,0,0,0,0,0,0,0,0,0.003012048,0,0,0,0,0,0,0,0,0,0
ILMN_1791593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1686645,0,0,0,0,0,0,0,0,0,0.001506024,0,0,0,0,0.001506024,0,0,0,0,0,0,0.001506024
ILMN_1777477,0.02560241,0.01355422,0.04066265,0.05572289,0.01054217,0.05421687,0.01204819,0.001506024,0.006024096,0.006024096,0.003012048,0,0.004518072,0.007530121,0.003012048,0.001506024,0,0.001506024,0.001506024,0.001506024,0.004518072,0.003012048
ILMN_1694472,0.4492754,0.5349811,0.1065449,0.03173472,0.1015944,0.1719929,0.15852,0.436947,0.1592494,0.2636299,0.2588279,0.3365225,0.2578721,0.1563452,0.5293475,0.3302127,0.3218589,0.2148082,0.2802328,0.3729218,0.4808038,0.4425456
ILMN_2308849,0,0,0,0,0,0,0,0,0,0,0,1.02E-05,0,0,0,0,0,0,0,0,0,0
ILMN_2102201,0.009036144,0.1596386,0.009036144,0,0.004518072,0.3478916,0.01506024,0.03614458,0.1415663,0.04216867,0.2921687,0.02861446,0.01656627,0.003012048,0.06927711,0.01807229,0.01807229,0.01054217,0.06626506,0.02108434,0.009036144,0.0436747
ILMN_2297887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1697654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
