,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_2104295,11777.34,15654.76,16447.22,18152.73,17644.91,12811.94,14148.09,28912.88,21292.72,21278.2,23878.88,17987.54,25350.73,20082.08,22170.12,30630.54,27450.56,27555.83,25950.2,24741.61,29518.31,26466.64
ILMN_1804851,47.92878,64776,50.35888,87.81049,81.91159,81.92358,54.1439,157.5312,105.1235,115.4731,171.8924,344.7713,144.3482,660.8752,193715,212.2671,124.6111,249.8248,137.2467,191895,197302,214.2849
ILMN_2412624,779.1193,994.2435,752119,1202821,1129763,951.2262,1179794,3904947,3262439,3608774,4069419,4111169,3446695,5651386,2993111,8167246,3933336,4540384,4046111,3615889,4207021,2905.96
ILMN_2402629,66.27144,63.89339,46.61563,62.49742,65.48244,68.64259,86.67648,147.1232,151.8394,146.4442,156.6806,122.2234,139.8467,213.1719,178.0124,178.9694,156.3837,229.6323,188.2257,186.3433,227.5567,234754
ILMN_1713732,132.8008,251.0701,184.7917,406.4644,465953,252.8271,206557,610.4857,708.1965,596.4551,713.8743,1146696,570.9533,954.8737,594.4513,1038.38,657.9343,584.6415,612.8378,695376,460.9307,590.1099
ILMN_1697220,444.6981,534.4102,305.7459,646.0828,367.4203,272.4816,203.7176,669753,415.1073,362658,869736,106.9216,544.3899,638.1172,608.6532,501061,541.8127,747.5826,387.4738,557.5314,542.2016,571.4904
ILMN_1807610,92.42459,85.88046,150.6071,155.3205,117.1611,70.85139,128.1475,230.2555,170.0578,398.1039,299.7479,269.5013,242.1994,467.3009,186.0433,1391527,685.4208,433.8269,454.0607,400.8524,386.3465,232.9905
ILMN_2408039,48.21946,49.57601,44.5486,66.15067,53.88696,49.75692,43.44205,98.26646,80.98615,88.21142,80.94405,108.0211,94.17389,142.1519,82.02389,105.4512,87.08343,103.5553,82.6091,83.83891,85.66533,83.39478
ILMN_1802167,66.82535,88.7628,68.71275,77.37428,86.31167,165.6561,49.29247,76.09886,104.5489,104.2841,76.85174,102.9194,77.16993,125.0657,740.7137,169.4106,83.24918,83.56087,72.96321,98.08646,116.1846,811.4244
ILMN_2355586,40.63541,38.25198,40.25498,49.60014,45.63488,42.5704,37.08744,51.2485,57.05148,58.58989,50.78487,56.09116,56.68013,53.72141,54.36039,67.33056,57.89706,57.17182,53.40696,53.1461,54.72201,45.65054
ILMN_1689162,51.57406,61.75694,48.92293,86.29594,76.99461,61.00571,56.2377,175849,128.2852,159.9614,249.2143,106.1359,202.2248,289.8715,153.1183,162.2872,213.2767,210.2629,136.2187,171.1234,243.1866,135.4395
ILMN_1764320,48.27209,64.27383,99.71107,105.2281,135.3913,184.7623,50.06296,144.1455,85.53134,66.06731,95.23726,87.45633,76.05067,248.6453,270.2345,77.48109,67.43642,106.6597,86.9583,85.37637,105.5896,173.6089
ILMN_1744138,39.38131,44.29903,42.59151,44.00324,48.50496,44.55405,40.25158,58.17985,60.12635,63.93711,57.25142,53.43598,58.16743,64.06701,56.86909,75.73238,58.9247,75.78752,58.43687,67.12183,55.50967,63.5893
ILMN_1812441,44.95358,46.58572,47.65582,52.52932,51.88191,44.92658,40.79576,61.07155,62.00016,62.08036,62.43896,62.40025,59.87425,67.29245,52.45459,75.15328,66.38049,75.20322,72.95085,58.35071,62.37853,60.8274
ILMN_1675701,45.83816,48.82121,52.45273,100.7187,69.11785,82.73171,53.48207,77.05885,74.94019,65.16837,77.71867,73.32188,63.5841,107258,123.4777,89.50122,72.09285,80.31734,89.20587,75.40858,79.40781,93.5267
ILMN_2336186,45.89817,52.47575,43.51163,64.8572,55.18796,50.11823,50.25269,73.87648,85.24394,61.1508,68.11186,66.13203,71.56137,82.70804,68.55976,100.3588,74.43591,79.21461,71.35706,71.50874,63.5211,68.89489
ILMN_2389069,46.62598,83.74361,82.78931,317.0522,87.70945,130.6049,80.79265,105793,75.63328,70.96647,84.46326,116.4932,75.57127,202.0256,139.9662,95.66711,80.46846,108.0742,75.78841,79.91408,110.1448,112.1886
ILMN_2261076,81.3797,110.6924,149.2929,257.6797,139.4938,99.82681,80.04903,147.1747,112.0551,109.9502,161.7047,168881,147.3725,213.0208,143438,177.7488,134.9749,146.1532,146.1192,134.4019,128.6519,122.0715
ILMN_1677885,64.4291,75.50643,268.6699,216.2882,194.8849,129.1799,78.36218,96.6836,83.88808,112.2463,193.2582,77.35234,92.69781,131.3804,60.13303,78.27912,103.4617,173.8939,152212,234.4968,117693,74.52921
ILMN_1676983,143.3766,174329,268.3253,395.6249,264.4603,162.9709,153.8294,201.0105,273.6433,184.5318,286.2358,223.6284,205.9212,388.3978,258.2928,375.5718,323.2869,327976,219.5975,302.6497,201.4657,235.4587
ILMN_1662426,588814,1567184,632.1824,783.6312,928.1745,1129349,1249257,1083.15,1022237,1796047,517.8184,283.9793,761.72,644.1608,803003,1852056,820.5962,1841141,1415214,753.0374,1131922,710.6679
ILMN_1686805,45.65955,53.9137,46.16592,68.40778,56.93817,49.98355,48.58463,93.35822,79.07938,76.97704,112226,70.31785,75.72217,97.7691,64.14439,112.0116,76.52991,82.49767,82.33569,76.02448,78.77168,76.53412
ILMN_2411963,40.11369,47.88534,42.04798,57.0388,54.84687,47.7235,41.00566,59.6937,62.94594,61.5294,67.21934,58.73689,57.70759,71.77386,58.07328,83.98496,57.00871,61.37711,62.14647,62.15461,78.18922,60.51418
ILMN_1805330,247.3587,536.7532,509.5613,605075,484.3349,698.5985,470.8488,632.5047,773.2386,742.9536,723.9218,574.6224,626.2821,786.6108,540.8304,1280.42,607.7787,822.4933,764089,590.3669,577.1451,629.9498
ILMN_2113535,47.71003,133.9207,54.22543,61.53851,67.27412,63.47352,102.1797,62.82959,106.2544,143.1823,214.3431,62.99212,133.0031,80.49494,59.04788,253.2743,68.63005,78.64279,84.81757,119.4725,71.99123,67.01342
ILMN_1731862,139.2354,364571,216.2285,277.1511,303.6232,207.0945,295.2108,389052,285.6251,431.3574,416.1942,425.2899,209.3572,446.6498,232.9553,886562,333.4708,400467,327.4109,261.5771,275.1547,283.9357
ILMN_1766613,87.54848,105.4857,87.59058,110.2238,121.9632,116.5641,109.0597,212.2676,169.3064,180.5367,221.9444,150.4791,147.4529,216.9194,175.9743,216.4139,159.7598,203.4474,182.0879,146.9228,147157,152.2269
ILMN_1756238,125.4315,373.2733,414.1646,970.8859,776.9205,1235881,314.3235,757.8729,364.4939,725.6479,367.2866,574.3557,526.1248,980.2549,549.3568,200043,567.7459,745289,564.2414,502.6615,608334,476.1812
ILMN_1814789,56.54267,59.70102,89.47354,172.9102,112.7113,100.3504,90.87612,171.0961,106.5296,145.1345,104184,71.13113,159.6097,320.8427,177.0931,95.5062,110.8372,157.1602,119.9098,127.4685,145407,141609
ILMN_1723124,302.1494,277844,494.4816,1410818,1219203,2508569,1117518,1115926,1447339,1407306,664.0961,2124261,899.8418,1511736,691.0321,560567,2100914,624.0595,1015.53,1293597,2418677,581.2881
ILMN_2362122,359.3419,563.6411,642.2966,1251058,741.7783,482.2379,437052,878.9349,576.3358,562.4269,737.3432,415.2619,775.0322,2180845,957.8907,1250172,855.6885,1082492,783.5474,799463,707.1566,889173
ILMN_1653578,412.8323,641.3875,887.8266,1384332,1213145,702.2007,421.5112,861.2264,547937,421.9316,1053705,488.8666,684.8372,1135139,663.3536,540.1035,728.2236,979.0424,697.1274,1001179,908.6229,548.2627
ILMN_1693976,98.94151,298.5461,170.1929,322.3397,258745,357.5263,267.9167,306.0809,196.1398,357.0705,477.4763,66.08662,183.2993,175.3099,189.3188,316.9608,218433,244.7218,251.7136,191.9671,306.3148,226.4785
ILMN_1759411,52.53883,63.6171,53.89856,130.0016,207663,143.9805,53.20678,253.7102,79.34679,81.59504,130.4315,83.57388,138.3498,471.6767,73.06483,121301,96.4101,178.0362,98.08904,117.7615,201.9753,86.22684
ILMN_1658257,139.5054,270.4637,242.4484,444.2075,298.7606,143.0794,159.1856,311.2077,203713,250.3466,291.6467,157.8115,275.0127,383.6653,232.6087,299.8474,364.5619,351387,251.7613,289.5053,306.4621,231.7037
ILMN_1677269,68.22436,64.72294,84.59518,134927,107.4484,78.57584,71.3373,107.9329,81.20635,70.72409,105.4777,52.81136,106.2239,113.8864,89.31821,91.25204,112.6214,107.4685,90.62534,88.08003,116.6518,83.02119
ILMN_1740500,55.75401,50354,45.85163,70.37606,52.99275,57.53686,99.0815,80.76559,76.69025,67.20642,69.23421,60.40469,70.90036,88.70223,65.7673,91.20692,92.19247,77.04978,63.6318,77.58164,70.60129,63.63331
ILMN_1747697,218.0962,447.9207,403.0961,720.4514,478.2232,439.7041,295.4369,663.7945,345.0499,572.3228,406.0803,187.5221,449.8119,882.8582,629.0235,549.1636,461.8945,860.3622,638.9086,568.1616,520.3062,564.4619
ILMN_1730325,90.63442,150.9143,61.03891,134985,114.8141,79.79513,143.2392,613.6948,325.9351,426.9691,512.8094,237.9484,278.4193,596.5744,433.1847,693.0758,358.2148,658.8375,401.2724,417.8513,281.6686,471.1856
ILMN_1741976,41.00089,45.68705,39.87019,51.13787,56.83931,40.08298,40.38739,53.29083,52.86527,61.00874,57.24463,47.43038,52.26082,81.46085,53.63219,73.21346,55.06803,65.63221,58.35853,55.62451,118.5535,58.20953
ILMN_2134765,64.28365,79.75906,71.81737,263.3955,99.34204,171.4929,66.17775,196.63,123.6715,108.9995,150.1532,171.0335,191.6004,506.7603,304.9724,129.4993,132579,199.7503,133.6078,149.9474,279.4337,178.6997
ILMN_1802699,105.7452,178.0418,232.2149,406.5535,260.8758,251.5532,221.5296,317.6846,220.5982,265.6392,336.2683,380.8302,361.0515,533.6083,364.8271,1027179,286.7054,463.3916,384.3929,275.0181,404.0703,414.2538
ILMN_1683589,149.3268,424.8059,362.4393,946766,662.1258,503.4307,578.2736,402.1714,258.2597,579.3367,364.7315,600.5433,461578,704136,402.2401,616.2171,356.5219,460.9114,579.8285,417.8136,343.1257,485.2581
ILMN_1698085,59.11252,68.05483,75.94809,98.4999,81.28569,62.2499,61.5547,95.6773,92.56377,107104,93.62682,65.89283,100.4365,111.1614,109.3455,142.8719,106.6065,138.0805,111.4798,101.1449,118141,119176
ILMN_1682123,57.86526,83.26857,100.6754,90.39655,268.1276,99.88904,63.82907,163.8649,121.1596,171.4192,113.3208,75.65219,119365,135.6139,76.04897,98.04494,165.6237,191.3193,154.2705,110.0541,90.83643,76.2612
ILMN_1779685,41.74684,39.35616,34.65114,47.0276,41.12679,40.00109,42.45841,54.74769,53.52683,58.86623,56.45303,61.73755,50.85105,54.87111,56.46686,67.15456,59.66254,68.7631,58.23165,54.8468,61.87162,59.70666
ILMN_1780153,44.76508,46.31599,37.84844,50.45617,44.56001,45.88256,39.8673,57.45459,59.46591,50.03519,56.23314,53.5575,48.16668,65.21253,56.67768,65.95615,56.92171,68.15654,57.77795,59.99358,55.33792,54.98539
ILMN_1689461,38.03957,40.01662,39.69566,56.35673,48.18528,44.54037,39.31041,65.59204,53.37028,58.05012,54.72355,58.75103,57.9468,72.63768,53.11604,82.21526,65.76914,70.29012,63.85767,60.19497,68.50074,61.51715
ILMN_1736441,47.06707,46.49938,43.98821,48.64695,46.12766,39.97692,49.18978,56.66943,61.65088,51.17276,65.39169,55.19393,62.4836,68.71154,55.63054,76.47958,57.78297,62.13605,53.63374,53.85706,61.72782,63.29992
ILMN_1777139,73.74012,137.2963,139.4833,149.4011,179.7373,179.9005,123.2589,220.0933,146.0486,229.3229,207.6514,183.2752,175.6151,243.3786,203.4827,211.4986,223.6797,231.0478,208.0402,165641,182.0036,179.2086
ILMN_1715886,80.59215,242.1191,211.3856,220.1597,228067,465.5982,162.0694,271.7183,273.8232,207.0578,442122,110.1137,252559,259.0467,503.0185,445.8026,172.9521,301.8837,172.4962,197.5867,312.0041,321.0852
ILMN_1737857,58.71758,123.4664,110.4769,153814,159395,129.1575,120.4224,455.8809,300115,383.8126,374.0367,610254,378.2838,859.8361,400.8832,538.9987,542.1035,576.5061,552.6965,517.8476,369.8441,458.0053
ILMN_2391959,158.9513,225.4887,507.3679,638.1428,391.6291,354.0976,171458,290.2176,190.6094,208.2993,281.3813,205.6918,282.1897,399048,314341,338.86,330.8663,378.3148,313.1149,346.5211,272.6363,268.8384
ILMN_1769195,53.02577,58.64257,67.01387,102.4444,79985,78.09457,58.62791,95.50726,84.35693,87.29638,99.86429,87.88355,89.71528,123629,90.52274,112.0377,87.98884,100.0777,89.64263,83.69909,89.66455,86.27891
ILMN_1684563,658.3619,1364989,983.6445,1479803,1149005,610.1442,723.3156,1147543,760.2328,631.4688,1753411,1566538,802.3313,1550923,918.4199,960.6544,911.8833,1280604,829.8446,880.3527,959.2336,920.6508
ILMN_1755897,162.6425,238.9789,316.2919,405108,373.1202,174.9849,189.1261,222177,138.7469,262.9389,76.76827,71.73656,165.7152,132.4467,103.5704,180.5328,217.1945,216.1356,216.0345,170.7447,149.3913,102.2647
ILMN_1790962,40.81509,39.83821,41.3123,48.39123,45.78576,44.08079,42.78531,50.51104,53.07613,52.4221,51.14508,53.22282,61.94408,63.14802,51.82385,73.93491,56.42446,60.96644,59.34424,57.89371,65.31186,58.84201
ILMN_1736256,3429469,7971718,6165438,10561.15,10911.46,12551.02,7631807,8167947,4630477,8718.58,6796135,6758365,6184701,7754879,5545257,7506661,6753235,5833802,7269779,5506265,8332347,7048915
ILMN_2287535,1260879,2951211,4635.29,3848529,4069476,3169518,2637107,1815442,1008863,3172188,2700957,1201021,1973813,2905732,821.0089,3922319,3114.64,1779182,4212177,3081609,3080305,912.2798
ILMN_1658951,39.9486,43.32488,36.94484,52.15895,44.39523,41.17967,40.46635,62.90041,56.72541,50.39834,62.84076,53.35815,54.89038,64.26463,53.04088,62.34339,60.27121,62.34691,55.33789,51.14885,55.68952,57.61597
ILMN_2324162,45.93925,53.93285,48.86555,77.10417,62.85462,61.14249,51.65247,85.87077,90.54894,83.49632,72.2847,91.47469,75.98106,89.40695,137.6726,101.4746,71.56281,82.14016,84.65541,81.81973,72.18251,123.3999
ILMN_1654586,43.19799,41.34429,40.02656,46.05835,45.75263,43.82915,42.06514,63.01253,69.00002,58.92034,62.68901,60.72911,57.20921,60.61136,51.2641,68.18265,56.24016,56.54275,59.50849,56.84861,61.06755,57.13624
ILMN_1667430,1669558,2494927,3033881,3939487,2709236,1683884,1954625,3578042,2171759,3091994,2361562,3635836,2136061,3299523,2302558,2211455,2075692,3764035,3535394,2385043,4073.99,3654833
ILMN_2392624,146.5362,124.5956,162.4298,237.0525,199.8939,135.8483,101.5826,117.2782,120.4173,90.17912,238.8638,89.21375,106.0827,146.0767,109.5387,137.7951,123.4554,122.3158,89.30006,129.4069,119.9136,93.88651
ILMN_1786211,49.36148,51.40628,49.34489,66.20248,65.54391,52.20176,46.29428,75.01178,73.79253,76.86643,68.37787,76.46375,76.02266,96.90936,67.72813,100.0616,83.9503,93.16668,85.05423,73.6515,82.30074,74.33611
ILMN_2138801,256.7041,583.6282,508.8536,713.3604,596.9256,464.4576,477.9587,403.6547,349.5025,603.1661,374038,201.5814,314.0284,344.1208,180519,325.9799,491.7639,309491,456.5542,342.5586,355.8614,200.7172
ILMN_1786718,218.2622,470.1976,496401,1318385,893.3843,469.4395,417.4055,543.7677,644.7374,469.1417,613.6841,1052.47,456.0166,1096192,634.6604,918.1155,450.4702,651.2341,591.2493,576.0606,646.6957,620.4626
ILMN_1737498,446.8937,1092.17,927.3394,2289499,988.8444,892.9962,703.2269,851415,701.5949,521.1356,801.5868,299.6091,722.7962,1035242,706.7651,616.4156,634.3256,845.6804,653.6976,598.7523,850417,631.9726
ILMN_1676358,128.9174,230012,127.6079,309.8222,229.2411,107.9418,105.3832,253.6045,261.5216,211.8902,576.5657,75.93049,259.6381,146.1015,168.8887,206.5674,246.1324,335.3711,181.8808,282.2441,341.7756,156056
ILMN_1754053,67.84895,89.63376,96.36832,189.0085,132.2926,109.3446,72638,144.0304,114.8794,122.1659,143.9938,94.15186,115.2279,314.6182,196.3323,126498,151288,171.3646,144.6458,156.6619,133.5331,207.4611
ILMN_1695187,66.95793,99.1302,112.1605,229.2318,139037,131.7122,77.73496,112.2156,72.24182,76691,123.7737,64.52639,83.20031,74.02316,76.25796,109.0096,85.51009,99.55799,87.54099,91.91809,86.88876,76.26615
ILMN_2103761,48.00969,54.44094,56.88724,91.47719,67.9305,78.77266,60.4089,91.08422,79.40962,82.18246,89.56049,75.36907,83.64135,74.97318,89.84427,153.0109,124871,96.33141,96.77941,90.97987,97.11089,88.24807
ILMN_2335304,41.98533,38.45936,43.22152,43.17628,46.31501,46.18019,42.7195,66.35162,64.14579,52.74283,57.4318,54.23389,59.66702,66.91133,48.22383,73.28197,71.73199,66.4052,68.65343,51.74663,60.52823,58.69353
ILMN_2282019,164.7905,219.7434,208.1355,414222,175.6864,315.1043,153.2364,486.8823,256.5844,276.1779,502.7937,892.9927,392.5583,1026986,756.5258,554.5814,402393,453.7006,321.6243,422.3801,382.1139,558.1158
ILMN_2152010,43.66417,54.02427,42.04112,60.73827,55.92773,52.18,46.90606,69.79673,67.09499,70.7915,72.85458,68.40153,66.01346,82.56541,59.67817,91.00705,69.01166,79.00041,77.65344,66.47271,74.29484,69.39974
ILMN_2188959,2010.7,4536947,2784986,4867.3,5213742,878222,2429276,4218015,2573569,2988905,2167574,2272435,4105673,6602057,2075523,10075.01,3459597,3435956,3985814,4594011,4448341,1451133
ILMN_2314169,585.6219,2221266,997.8799,2002876,1308.1,1689958,996.9019,1865.4,1443054,2928306,2607544,2791488,1796512,4284594,2191578,2841744,1317582,4128463,1997387,1647047,1780026,3638896
ILMN_1797738,45.76172,44.45345,41.20975,58.60881,54.15776,42.05231,39.76906,64.81094,59.96606,60.41808,73.9287,72.33903,60.9207,75.30352,58.47633,81.77627,64.66245,76.21452,72.85784,66.47208,67.82818,73.29703
ILMN_1745110,40.7882,45.83867,39.86833,53.14145,56.02531,248.1521,44.54028,47.95608,59.05069,48.96712,66.11895,197.9088,53.98525,143.6229,129.1314,71.14093,55.02039,56.71926,55.58593,61.21253,64.10647,63.7935
ILMN_1758323,88.18353,91.72076,106.7212,113.6219,151.4814,93.92922,115.6025,87.20789,97.99382,95.58657,88.28239,86.58946,96.67934,146.9652,70.4859,105.5287,99.90908,97.64845,92.10815,200.4394,115.1301,67.06905
ILMN_1753345,43.4758,41.88996,40.49772,51.51277,43.66507,44.08122,40.60344,63.38947,60.02169,60.43601,86.34601,77.91629,68.67933,80.80518,52.77686,73.40388,68.13607,73.39312,63.4638,68.48429,67.75789,72.4305
ILMN_1743303,68.51077,97.03117,81.90319,145.2224,124.4328,148.3386,70.23943,144.6304,172.6243,158.9637,124.6902,219.4253,155.9232,222.7583,179.0763,128.9086,132.5708,174.7783,188.3992,186.8799,225.9755,220.5566
ILMN_1784269,74.76767,67.48006,143.9514,139.5231,206.5162,118.4324,118.6367,207219,112.3043,237.1147,97.50818,135.1535,193627,276.0368,137111,110.6411,359.2983,208.4742,307.5881,188.1398,167.3849,86.65788
ILMN_1652178,45.86141,43.07801,41.0099,49.80959,47.15825,42.32784,47.82346,64.24987,62.06467,57.87622,59.81558,55.81801,59.58981,60.76888,53.73486,74.53664,56.28186,66.39861,58713,56.21632,62.38675,61.09695
ILMN_1662091,133.8928,527.4947,594.3447,704.6076,776049,621.5899,525.8827,674.2558,750.3702,757.6135,1355276,547.7905,823.4849,694.8234,487.2338,993.6348,797.4758,531.6321,745.7307,662.8083,660285,418.8563
ILMN_1730082,42.55871,40.77089,42.47913,50.57805,49.23071,41.17572,113.8763,56.6563,51.97448,52.71565,55.34093,49.5292,47.26201,55.93764,53.22873,60.62191,51.61913,55.80674,68.42577,53.30766,51.35154,51.24467
ILMN_1807491,60.96238,74.46835,107.5165,187.8857,139.9008,90.13143,100.3623,91.10146,75.93305,109.2347,80.79343,79.54475,108559,103.2873,59.34884,140.3993,116.0081,106.9792,108.4978,97.15051,109.8807,71.57827
ILMN_1708006,70.55207,60.76331,105.3965,118.8143,95.18449,100.5729,72.07551,180.7396,171.4891,205096,166.5976,93.3596,287.0305,445.9795,301.3618,268.6416,229.4767,311.0286,218.6888,179.8379,264.7617,277.1089
ILMN_1753275,225.9389,802.6359,429.2934,586.9037,465.8501,580.3291,475.2104,647.7239,387.1799,1048062,952.5886,232.8805,402.8639,378.5525,335.7283,649.1779,566048,857.4293,730.6324,436.5514,583028,529.0197
ILMN_1737211,579.8478,616786,932.2253,1535583,1137935,959.4672,662.5818,1001464,980.9982,510.0996,1148031,1115747,1021721,1584371,1327265,644033,1053662,1046495,811.8062,952.0475,955.8849,916892
ILMN_1772214,55.23618,53.23194,58.16522,109.0357,72.66585,57.51974,53.60808,105.0727,85.74495,73.55205,109.8006,62.47165,103.5551,80.24811,90.52249,105446,128971,111.2817,97.00844,125.9919,91.88715,79.51563
ILMN_2365176,187.9243,127.0058,528.5415,617.5176,326.9995,122.1267,182.1734,637.3225,385.1346,146.4048,512.7791,104.2058,615.2858,2117242,276.1925,719.1103,545.1606,560.4545,393.1377,783.4373,765.7659,249.7301
ILMN_1748883,982.2601,1582078,1649404,2555242,2722.81,3695597,3008941,6301124,5213093,7922738,3602574,255.3659,4239.74,3139036,5446337,8788011,4530119,5591477,8124239,4500517,5941958,6003769
ILMN_2298624,85.73483,133.0918,175.4724,275.9005,189.0589,217902,116.7683,162.2885,132.7884,155.3621,262.7888,108.6719,190.1844,248.1025,209.0777,163.4824,179.9013,187.3177,167.3002,154315,206.8578,188.0818
ILMN_1699476,1090477,1918.42,2224058,3179794,3422976,3297879,3768962,4359861,2181247,2465584,3738191,4027175,2530395,4854339,3995.54,9657191,5307999,2559792,2948086,2084948,1561481,3582718
ILMN_1739946,100.3858,127.7695,135.2053,222.4296,239.7296,250.6797,151.5236,229.6263,243.3167,315.6491,374.7491,346.4105,307.4254,458.7603,310.0402,256553,335.6914,342.9669,327.8945,309.9675,372.7631,312.2724
ILMN_1696003,47.23015,331.8206,43.79927,60.4959,144.5574,64.25835,275.4396,80.46439,63.84162,571873,130.2406,114.2688,65.13873,83.31057,70.39225,208.1732,67.16232,96.17207,429.2983,300.5466,69.97879,91.15726
ILMN_1654289,42.67234,44.13211,41.06071,57.80901,50.19458,38.74209,43.0966,59.94592,61.56728,60.33474,63.54343,65.47417,70.77036,69.5121,60.37056,83.78075,63.46725,65.7952,63.55615,62.19006,63.73118,70.98756
ILMN_1793628,72.39346,135.9227,117.0332,158.0567,225.0632,117623,155.5791,124.8523,114.3295,242.2408,110.6322,168.7948,110.6764,144.6332,90.84601,164.8915,171.5452,136.8169,188.6174,90.69436,133.0108,148.7302
ILMN_1758229,42.36674,48.10966,50.71112,65.38757,51.64259,54.14774,51.86362,90.75476,79.74328,89.39281,85.32373,65.13823,107.3565,81.50137,71.61349,119.3217,108.1904,97.81961,113.3572,104.0631,82.26864,79.04085
ILMN_1761829,457.4101,674.9347,822.4685,1034465,992252,698447,834.7387,1665456,815.9173,1363395,988.5988,1040847,732.6666,1577659,813.2077,2979713,1509833,1067513,1524686,938.7289,1335.24,642.3301
ILMN_1659823,46.73904,50.68509,49.14695,64.14513,58.58112,51.68974,48.26445,71.73154,65.70513,70.85428,82.74852,62.39059,64.28779,94.77119,80.94301,92.68279,73.17068,87.65816,78.2929,71.46172,81.78591,83.60503
ILMN_1721583,115.8311,189.5277,134.8148,168.0474,248.5719,238.6523,110.1676,130295,140.8438,136.2491,224.3696,69.90888,147.5288,191158,207.4509,166.4774,178.4787,238.5053,104.9108,142.3308,133.5318,163.4535
ILMN_2276002,2155827,3752774,3413794,6128954,4857821,3909022,5717691,13066.34,11359.97,12432.68,17013.75,1416853,10412.78,8893964,7223679,18458.79,16461.63,16471.02,13440.18,13037.33,16473.37,10754.13
ILMN_1687306,681.6951,835.0144,1186753,1257161,1417064,1679394,2242223,2506064,1250094,1757733,1213439,894.6654,1828813,3473742,3280891,7086567,2030699,3167532,2447.22,1689931,2681449,2900126
ILMN_2383305,623.1111,784.4466,900.2344,1131642,805.6174,542.4909,600.7563,1503254,774.3662,795.3289,2099846,133.2363,1199206,1417033,717.8887,1119526,1291305,1150722,957.5193,1098037,1824688,1007723
ILMN_2382488,43.17397,45.83656,43.29743,53.64306,51.68905,52.20869,39.54424,58.77279,68.35345,59.26923,55.56878,70.14636,56.65642,114.2455,68.14114,78.47688,65.9744,68.82261,62.40789,63547,65.70776,60.80242
ILMN_1747020,55.45035,60.89046,55.48672,99.7262,77.5187,63.70123,67.1404,94.31918,85.99939,97.84745,154.1365,91.74432,92.78573,127.8206,92.48225,146.8561,113.7777,119.6487,107.6643,83.34525,110.4444,97.03571
ILMN_1661129,41.0001,44.74783,34.79463,47.52631,50.43845,43.09806,38.67684,54.13997,64.10938,51.88574,55.40647,57.70861,55.20461,66.71593,52.90786,74.52458,58.93372,50.66025,55.57543,56.38898,64.88946,54.66541
ILMN_1781256,83.33198,114289,78.38113,162.4824,140.0537,94.14734,102.0913,132.2323,170.4844,122.8731,404.8038,105.7135,193.8103,149.0057,83.95432,323613,264183,166.4305,114.4467,124.1136,152.7846,105.1729
ILMN_1693878,120.7139,237.9214,172.5149,473.5058,283.4174,262.6225,182.9304,421.3281,315.8409,300.0074,390.0407,72.92494,345.2412,212.3559,249.4,423.8508,322.7116,380.2765,334.0091,357.8217,311008,254575
ILMN_2160209,44.27074,40.81688,42.38776,47.66861,61.37337,54.32896,49.68631,55.1867,56.43129,52.55106,53.62856,54.65082,52.32535,65.3204,55.47182,93.21963,49.39305,69.29779,62.74278,59.80162,59.00941,66.54186
ILMN_1655382,489.9083,739.9864,443.0175,619.1451,725.8944,774.9171,614.2781,503.4875,472.2637,683.1954,732.1656,169.6033,416.5252,505499,655.3869,563.3488,692.8957,631.5571,523.6281,478.5939,360.2686,563.5641
ILMN_2306077,52.22085,69.32121,75.85365,171.3665,96.63346,88.80647,61.92346,106.0497,92.52666,90.18549,127.7613,116.5327,95.89778,173.2097,89.14005,139.8474,100.9396,108.8705,103.3201,98.03331,107.8838,89.78563
ILMN_1694711,45.53951,44.86297,40.31631,53.95676,46.9602,43.3198,45.68322,64.95708,63.6035,77.44854,64.42032,56.86279,64.05834,75.93092,57.32369,73.52026,64.93413,67.75504,66.37835,61.32528,62.81807,65.60418
ILMN_1780036,100.4236,172.4582,142.8501,222509,234.5731,135.7016,122.3967,215.3782,137.1898,188.6327,199.8393,120.6346,186.7862,263.0636,162.7258,303789,220.2045,190.6059,178821,169.9811,155.8369,194.6548
ILMN_1758827,44.31224,48.36865,52.59042,59.09143,74.30717,90.07262,51.63532,74.20193,74.73933,100.3525,75.47748,106.7791,77.13626,86.60223,98.41592,80.8802,117.6347,82.05038,99.32878,79.56401,79.07806,85.88736
ILMN_1765605,68.47604,89.91895,77.44457,121.0799,111.4239,119214,68.44029,94.00355,103.4566,74.57652,118.4277,104.8137,98.27434,174.7333,121.1767,94.84077,83.6586,118.2734,85.4642,102.0555,110.6787,116.0697
ILMN_1656487,222.8199,251.4822,380.4194,754.7891,419.1265,273.1417,261.0066,456.9575,286.4669,349.9847,510.7836,413.5362,423.5692,1147062,507.8275,490303,314.2678,536.4442,339.7101,387.3253,403.9882,448.9224
ILMN_1695740,148.3897,364.1448,191364,206.5113,219.0282,219.3379,197.8074,646.6347,430.1528,1228076,410.9705,239.7059,507696,1128821,575884,666.7839,608.3967,1382325,1291.44,520.4197,411603,1442243
