,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_2286514,122.2057,249.3908,148.7496,316.3115,230.4077,126.8215,196.1188,275.2229,171.9644,301.1707,139.9911,65.82825,226.8064,412.0899,283.3925,234.0705,238.1541,306.9602,260382,251434,289.1584,375.4991
ILMN_2135537,597.8361,1495037,1660042,4320609,2389326,2212.58,2046179,3062152,2121293,1928945,2240033,2983437,2352237,3802276,1756696,2449039,2753896,2345583,1960725,2341084,3293125,1751799
ILMN_1705568,105.7425,204.5606,107823,358404,144.0489,229.9617,194.9133,642.8568,314.2512,276.1367,449.1365,232705,311.8127,664342,346.6415,437.6442,337.5522,330.6841,305.7497,294.2226,524.6813,292.2372
ILMN_1804935,41.15106,43.34962,36.7841,47.5429,48.18456,40.1326,42.91121,52.63489,59.12592,56.59196,49.42804,50.60817,51.82255,56.85893,58.03887,67.60204,57.78653,62.65091,65.0479,59.98632,59.95919,60.65288
ILMN_1730601,42.17791,44.92475,37.27886,47.0498,49.75741,43.81356,42.10566,61.21319,55.17502,55.45457,55.01685,53.08659,52.5015,68.32447,55.24376,74.70219,54.16224,63.76624,57.04721,55.71582,60.82713,62.33461
ILMN_1785474,302.0119,619.3231,636.1215,681.7475,793.7661,410.4194,434.4117,630.9672,497.5162,598.1435,834.9256,206785,690.0438,648.9741,536.0957,547215,681.5115,609.9728,600.9287,537.7635,688.5765,410.9715
ILMN_1761016,37.47118,37.61529,37.78561,36.62742,44.91632,41.88605,38.01648,48.10049,55.11015,43.37633,52.76683,52.75782,52.17738,65.99535,46.27957,69.17328,49.03189,53.4106,50.19092,52.97928,55.71045,58.34744
ILMN_1782978,562.6825,1242274,1581863,2901075,1515923,630.0703,656076,1098556,453.8073,630.8398,927.3076,1029104,2067892,1688817,549.8856,1362617,823.4063,913.8452,938.1845,741.4843,2244708,658.5551
ILMN_1806010,107.3001,384755,403.8844,1067.52,646.3586,1487491,227.5238,430602,458.3565,184.9998,404807,960.7021,348.9187,1263085,1034681,119.0797,231.0756,1098317,223.5978,305.0956,1662818,717.9797
ILMN_1657665,46.09033,90.09317,50.44374,65.60091,71.10589,86.27219,83.59867,441.0997,216.9084,414.6453,255.2097,357.4793,190.9009,457.0099,402.0352,518.1152,226488,505.6515,354.2178,258601,196992,477.0501
ILMN_1808765,39.8217,43.41794,38.87467,50.13147,45.39266,51.52826,43.53502,67.3787,55.29865,50.7623,59.50947,54.38815,54.81864,58.75674,54.71124,70.38805,64.48192,62.92648,59.63671,54.64272,60.83493,68.22704
ILMN_1773643,106.0973,204.2433,260.7195,451.4672,257.3377,176.3963,189.2342,181167,144.9329,197.8859,221.5227,363.5144,210.6348,466.2379,308.7409,253.7193,284.2816,239197,286.1431,266.4146,239.2008,232.2719
ILMN_1736154,52.32592,52.04482,56.05525,72.76401,66.36202,49.45758,54.49213,113.3815,92.67829,96.12721,132.3805,128.3479,110.4141,159.7647,104.8023,133.2271,137.7326,144.1717,119.3638,106.8892,126.1126,107206
ILMN_2287941,358631,565.6812,446.1832,829.3104,999.6662,514.4529,474.4553,799.6083,669.3841,603.8608,408849,699.2368,520.1675,950301,621.4885,550.8383,514.4879,626.5461,809.3559,499.9732,484493,505.7731
ILMN_2233180,43.87777,44.20711,43.9147,58.15864,53.47328,54.90284,42.71349,64.88234,58.56712,57.47936,58.33064,65.71421,61.54416,77.65336,62.35658,72.45262,60.87597,66.19547,59.15057,57.07008,57.55061,66.5974
ILMN_1685916,54.62943,62.52036,65.7393,85.34756,63.98977,75.33353,60.81565,86.67966,102.3172,122.4179,89.2327,73.00534,114.4003,103.0577,66.09109,212.0621,108.5627,116.9385,103.3614,112.5777,95.26111,79.86281
ILMN_1808272,1923725,3306891,2367.43,7832468,5073074,7701368,4423498,3999062,2886141,5084972,7091112,1207233,3411497,5070.1,6237045,6444911,4901973,6613579,5622169,3775391,3447481,5406281
ILMN_1696126,44.08361,46789,38.29617,46.88112,50.36901,38.51706,40.76813,59.20658,54.56783,49.21762,51.2821,66.12378,48.88931,59.78324,54.75489,73.80227,53.47149,57.50639,47.57746,55.30762,56.72474,57.56877
ILMN_1788874,53.67853,51.85824,52.54988,109361,71.69504,71.73401,45.87691,75.04117,67.87444,69.93948,90.24501,151.0179,74.01843,176.4519,98.36212,89.80443,71.91076,87.36623,81.06901,77.28428,96.86932,92.58291
ILMN_1658636,56.71936,139.1529,61.09333,48.43581,83.7878,109.9206,48.53312,107.1271,136.8507,336.6132,81.34988,172.7583,85.19505,200.8352,264.0558,88.17368,74.1944,139.4457,263.7544,144.8389,76.22586,288.0488
ILMN_2404385,534.3396,1963.33,1260287,2144172,1489168,2160332,1496446,1795452,1265013,1439562,2136525,1362048,1320685,1803.79,1476591,1428534,1315047,1617.88,1094436,1059.07,1444253,1403772
ILMN_1716195,50.98816,75.65514,58.18784,75.90388,91.38387,80.09036,87.22668,263.1571,165.9046,366.7201,129.7336,60.63684,168.9854,107.3346,115.5996,427.3585,199.8593,281.4162,237.1353,177.8519,167.3578,172.2036
ILMN_2406299,472.5806,821.9384,1132586,1357771,1062661,1175731,923.6727,1303225,1314719,1937.64,2986568,2295978,1592471,2182529,1300652,2023093,2471577,2116557,2651.06,1834807,2008405,1196537
